codigo,nome,nome_cientifico,Energia (kcal),Umidade (g),Carboidrato total (g),Proteína (g),Lipídios (g),Fibra alimentar (g),Álcool (g),Cinzas (g),Colesterol (mg),Ácidos graxos saturados (g),Ácidos graxos monoinsaturados (g),Ácidos graxos poliinsaturados (g),Ácidos graxos trans (g),Cálcio (mg),Ferro (mg),Sódio (mg),Magnésio (mg),Fósforo (mg),Potássio (mg),Zinco (mg),Cobre (mg),Selênio (mcg),Vitamina A (RE) (mcg),Vitamina A (RAE) (mcg),Vitamina D (mcg),Alfa-tocoferol (Vitamina E) (mg),Tiamina (mg),Riboflavina (mg),Niacina (mg),Vitamina B6 (mg),Vitamina B12 (mcg),Vitamina C (mg),Equivalente de folato (mcg),Sal de adição (g),Açúcar de adição (g),codigo_FoodOn
C0002B,"Abóbora, cabotian (japonesa), s/ casca, s/sementes, crua",cucurbita maxima x,41 kcal,88.5 g,8.36 g,1.75 g,0.54 g,2.17 g,0.00 g,0.84 g,0.00 mg,0.12 g,0.08 g,0.05 g,0.00 g,18.0 mg,0.37 mg,tr mg,8.82 mg,25.8 mg,350 mg,0.32 mg,0.06 mg,1.10 mcg,508 mcg,254 mcg,0.00 mcg,5.72 mg,tr mg,tr mg,tr mg,0.10 mg,0.00 mcg,5.09 mg,21.9 mcg,0.00 g,0.00 g,
C0003B,"Abóbora, menina brasileira, s/ casca, s/ sementes, crua",cucurbita moschata ,13 kcal,95.7 g,3.34 g,0.61 g,tr g,1.17 g,0.00 g,0.36 g,0.00 mg,tr g,tr g,tr g,0.00 g,8.74 mg,0.15 mg,tr mg,4.09 mg,11.6 mg,164 mg,tr mg,0.02 mg,1.10 mcg,1335 mcg,667 mcg,0.00 mcg,0.04 mg,0.07 mg,tr mg,tr mg,0.04 mg,0.00 mcg,1.50 mg,8.21 mcg,0.00 g,0.00 g,
C0151B,"Abóbora, moranga, refogada (c/ óleo, cebola e alho), c/ sal", ,30 kcal,92.5 g,5.98 g,0.39 g,0.80 g,1.55 g,0.00 g,0.37 g,0.00 mg,0.12 g,0.19 g,0.45 g,0.00 g,19.2 mg,0.11 mg,130 mg,7.50 mg,11.7 mg,183 mg,0.08 mg,0.04 mg,1.07 mcg,95.3 mcg,47.7 mcg,0.00 mcg,1.51 mg,0.05 mg,tr mg,tr mg,0.05 mg,- mcg,6.73 mg,8.45 mcg,0.32 g,0.00 g,
C0101B,"Abóbora, moranga, refogada (c/ óleo, cebola e alho), s/ sal",cucurbita maxima ,30 kcal,92.5 g,5.98 g,0.39 g,0.80 g,1.55 g,0.00 g,0.37 g,0.00 mg,0.12 g,0.19 g,0.45 g,0.00 g,19.1 mg,0.11 mg,3.03 mg,7.49 mg,11.7 mg,183 mg,0.08 mg,0.04 mg,1.07 mcg,95.3 mcg,47.7 mcg,0.00 mcg,1.51 mg,0.05 mg,tr mg,tr mg,0.05 mg,0.00 mcg,6.73 mg,8.45 mcg,0.00 g,0.00 g,
C0270B,"Abóbora, moranga, s/ casca, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ salsa, c/ pimenta-do-reino, c/ sal",curcubita spp. ,32 kcal,91.2 g,4.78 g,1.38 g,1.33 g,2.50 g,0.00 g,1.27 g,0.00 mg,0.21 g,0.29 g,0.73 g,0.00 g,8.88 mg,0.18 mg,280 mg,5.28 mg,15.6 mg,133 mg,0.12 mg,0.07 mg,0.91 mcg,296 mcg,148 mcg,0.00 mcg,1.40 mg,0.03 mg,0.01 mg,0.01 mg,0.06 mg,0.00 mcg,10.3 mg,9.60 mcg,0.00 g,0.00 g,
C0269B,"Abóbora, moranga, s/ casca, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ salsa, c/ pimenta-do-reino, s/ sal",curcubita spp. ,33 kcal,91.4 g,5.00 g,1.42 g,1.34 g,2.58 g,0.00 g,0.82 g,0.00 mg,0.22 g,0.30 g,0.73 g,0.00 g,10.5 mg,0.21 mg,93.1 mg,5.83 mg,16.2 mg,134 mg,0.13 mg,0.08 mg,0.92 mcg,297 mcg,148 mcg,0.00 mcg,1.41 mg,0.03 mg,0.01 mg,0.02 mg,0.06 mg,0.00 mcg,10.3 mg,9.85 mcg,0.47 g,0.00 g,
C0355B,"Abóbora, moranga, s/ casca, s/ semente, assada, s/ óleo, c/ sal", ,26 kcal,91.0 g,5.92 g,1.80 g,0.21 g,3.59 g,0.00 g,1.06 g,0.00 mg,0.05 g,0.03 g,0.02 g,0.00 g,5.00 mg,tr mg,127 mg,2.99 mg,12.8 mg,201 mg,0.11 mg,0.08 mg,1.78 mcg,513 mcg,256 mcg,0.00 mcg,2.23 mg,tr mg,tr mg,tr mg,0.09 mg,0.00 mcg,12.5 mg,11.6 mcg,0.32 g,0.00 g,
C0354B,"Abóbora, moranga, s/ casca, s/ semente, assada, s/ óleo, s/ sal", ,26 kcal,91.3 g,5.93 g,1.81 g,0.21 g,3.60 g,0.00 g,0.75 g,0.00 mg,0.05 g,0.03 g,0.02 g,0.00 g,4.94 mg,tr mg,tr mg,2.99 mg,12.8 mg,202 mg,0.11 mg,0.08 mg,1.78 mcg,515 mcg,257 mcg,0.00 mcg,2.23 mg,tr mg,tr mg,tr mg,0.09 mg,0.00 mcg,12.5 mg,11.7 mcg,0.00 g,0.00 g,
C0226B,"Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, c/ óleo de soja, c/ sal", ,38 kcal,91.6 g,3.89 g,1.18 g,2.52 g,2.36 g,0.00 g,0.81 g,0.00 mg,0.39 g,0.58 g,1.44 g,0.01 g,3.15 mg,tr mg,127 mg,1.18 mg,7.55 mg,66.2 mg,0.06 mg,0.06 mg,1.05 mcg,334 mcg,167 mcg,0.00 mcg,1.75 mg,0.00 mg,tr mg,tr mg,0.04 mg,0.00 mcg,6.65 mg,5.45 mcg,0.32 g,0.00 g,
C0225B,"Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, c/ óleo de soja, s/ sal", ,38 kcal,91.9 g,3.90 g,1.19 g,2.53 g,2.36 g,0.00 g,0.49 g,0.00 mg,0.39 g,0.58 g,1.45 g,0.00 g,3.08 mg,tr mg,tr mg,1.18 mg,7.58 mg,66.4 mg,0.06 mg,0.06 mg,1.05 mcg,335 mcg,167 mcg,0.00 mcg,1.76 mg,0.00 mg,tr mg,tr mg,0.04 mg,0.00 mcg,6.67 mg,5.47 mcg,0.00 g,0.00 g,
C0166B,"Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, s/ óleo, c/ sal", ,17 kcal,93.8 g,3.98 g,1.21 g,0.14 g,2.41 g,0.00 g,0.82 g,0.00 mg,0.03 g,0.02 g,0.01 g,0.00 g,3.22 mg,tr mg,127 mg,1.21 mg,7.74 mg,67.9 mg,0.06 mg,0.05 mg,1.08 mcg,342 mcg,171 mcg,0.00 mcg,1.50 mg,tr mg,tr mg,tr mg,0.04 mg,0.00 mcg,6.81 mg,5.59 mcg,0.32 g,0.00 g,
C0165B,"Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, s/ óleo, s/ sal", ,17 kcal,94.1 g,3.99 g,1.22 g,0.14 g,2.42 g,0.00 g,0.50 g,0.00 mg,0.03 g,0.02 g,0.01 g,0.00 g,3.16 mg,tr mg,tr mg,1.21 mg,7.76 mg,68.1 mg,0.06 mg,0.05 mg,1.08 mcg,343 mcg,171 mcg,0.00 mcg,1.50 mg,tr mg,tr mg,tr mg,0.04 mg,0.00 mcg,6.83 mg,5.61 mcg,0.00 g,0.00 g,
C0004B,"Abóbora, moranga, s/ casca, s/ sementes, crua",curcubita spp. ,16 kcal,94.6 g,3.66 g,1.12 g,0.13 g,2.22 g,0.00 g,0.46 g,0.00 mg,0.03 g,0.02 g,0.01 g,0.00 g,3.05 mg,tr mg,tr mg,1.85 mg,7.91 mg,124 mg,0.07 mg,0.05 mg,1.10 mcg,353 mcg,176 mcg,0.00 mcg,1.38 mg,tr mg,tr mg,tr mg,0.06 mg,0.00 mcg,9.65 mg,10.3 mcg,0.00 g,0.00 g,
C0064B,"Abóbora, paulista, crua",cucurbita maxima duchesne,30 kcal,90.9 g,7.87 g,0.64 g,0.14 g,2.61 g,0.00 g,0.50 g,0.00 mg,0.03 g,0.01 g,0.06 g,0.00 g,18.7 mg,0.17 mg,0.50 mg,9.39 mg,32.7 mg,212 mg,0.18 mg,0.10 mg,1.10 mcg,353 mcg,176 mcg,0.00 mcg,0.04 mg,tr mg,tr mg,tr mg,0.03 mg,0.00 mcg,17.5 mg,12.2 mcg,0.00 g,0.00 g,3412511.0
C0228B,"Abóbora, pescoço, s/ casca, s/ semente, cozida, drenada, s/ óleo, c/ sal", ,26 kcal,91.5 g,6.65 g,0.73 g,0.13 g,2.50 g,0.00 g,0.97 g,0.00 mg,0.03 g,0.02 g,0.01 g,0.00 g,9.17 mg,0.23 mg,128 mg,4.84 mg,30.9 mg,143 mg,0.14 mg,0.09 mg,1.08 mcg,525 mcg,262 mcg,0.00 mcg,1.38 mg,tr mg,tr mg,tr mg,0.04 mg,0.00 mcg,1.48 mg,7.76 mcg,0.00 g,0.00 g,
C0227B,"Abóbora, pescoço, s/ casca, s/ semente, cozida, drenada, s/ óleo, s/ sal", ,26 kcal,91.8 g,6.67 g,0.73 g,0.13 g,2.51 g,0.00 g,0.65 g,0.00 mg,0.03 g,0.02 g,0.01 g,0.00 g,9.12 mg,0.22 mg,0.61 mg,4.85 mg,31.0 mg,143 mg,0.14 mg,0.09 mg,1.08 mcg,527 mcg,263 mcg,0.00 mcg,1.38 mg,tr mg,tr mg,tr mg,0.04 mg,0.00 mcg,1.48 mg,7.79 mcg,0.00 g,0.00 g,
C0005B,"Abóbora, pescoço, s/ casca, s/ sementes, crua",cucurbita moschata ,24 kcal,92.5 g,6.12 g,0.67 g,0.12 g,2.30 g,0.00 g,0.60 g,0.00 mg,0.03 g,0.02 g,0.01 g,0.00 g,8.81 mg,0.28 mg,0.75 mg,7.42 mg,31.6 mg,263 mg,0.18 mg,0.09 mg,1.10 mcg,537 mcg,268 mcg,0.00 mcg,1.27 mg,tr mg,tr mg,tr mg,0.06 mg,0.00 mcg,2.09 mg,14.3 mcg,0.00 g,0.00 g,
C0001B,"Abóbora, s/ casca, s/ sementes, crua",curcubita spp. ,22 kcal,93.2 g,5.03 g,1.05 g,0.18 g,2.02 g,0.00 g,0.54 g,0.00 mg,0.04 g,0.03 g,0.02 g,0.00 g,9.64 mg,0.22 mg,0.19 mg,5.54 mg,19.2 mg,225 mg,0.14 mg,0.05 mg,1.10 mcg,710 mcg,355 mcg,0.00 mcg,1.91 mg,tr mg,tr mg,tr mg,0.07 mg,0.00 mcg,4.58 mg,12.9 mcg,0.00 g,0.00 g,
C0725B,"Abobrinha recheada, c/ sal", ,88 kcal,81.3 g,4.36 g,8.74 g,4.26 g,1.50 g,0.00 g,1.32 g,21.7 mg,1.41 g,1.38 g,1.29 g,0.06 g,15.4 mg,0.89 mg,155 mg,23.7 mg,90.2 mg,336 mg,2.42 mg,0.09 mg,1.46 mcg,51.8 mcg,26.3 mcg,0.03 mcg,0.35 mg,0.05 mg,0.11 mg,1.17 mg,0.04 mg,0.99 mcg,6.55 mg,19.2 mcg,0.47 g,0.00 g,
C0266B,"Abobrinha, italiana, c/ casca, à milanesa (farinha de trigo, ovo e farinha de rosca), frita em imersão, c/ sal", ,131 kcal,75.1 g,12.4 g,3.78 g,7.80 g,2.02 g,0.00 g,0.93 g,43.4 mg,1.40 g,1.98 g,4.12 g,0.00 g,24.6 mg,1.16 mg,181 mg,28.3 mg,72.9 mg,308 mg,0.51 mg,0.12 mg,6.16 mcg,65.1 mcg,41.1 mcg,0.21 mcg,0.98 mg,0.03 mg,0.10 mg,0.08 mg,0.04 mg,0.10 mcg,6.34 mg,35.5 mcg,0.32 g,0.00 g,
C0265B,"Abobrinha, italiana, c/ casca, à milanesa (farinha de trigo, ovo e farinha de rosca), frita em imersão, s/ sal", ,131 kcal,75.1 g,12.4 g,3.78 g,7.80 g,2.02 g,0.00 g,0.93 g,43.4 mg,1.40 g,1.98 g,4.12 g,0.00 g,24.5 mg,1.16 mg,53.4 mg,28.3 mg,72.9 mg,308 mg,0.51 mg,0.12 mg,6.16 mcg,65.1 mcg,41.1 mcg,0.21 mcg,0.98 mg,0.03 mg,0.10 mg,0.08 mg,0.04 mg,0.10 mcg,6.34 mg,35.5 mcg,0.00 g,0.00 g,
C0232B,"Abobrinha, italiana, c/ casca, cozida, drenada, c/ óleo de soja, c/ sal", ,35 kcal,92.9 g,2.75 g,0.96 g,2.61 g,1.47 g,0.00 g,0.74 g,0.00 mg,0.47 g,0.56 g,1.54 g,0.00 g,15.5 mg,0.15 mg,128 mg,15.6 mg,20.7 mg,116 mg,0.24 mg,0.02 mg,0.07 mcg,74.2 mcg,37.1 mcg,0.00 mcg,0.36 mg,0.05 mg,tr mg,tr mg,0.06 mg,0.00 mcg,1.97 mg,25.5 mcg,0.32 g,0.00 g,
C0231B,"Abobrinha, italiana, c/ casca, cozida, drenada, c/ óleo de soja, s/ sal", ,35 kcal,93.2 g,2.76 g,0.96 g,2.61 g,1.47 g,0.00 g,0.42 g,0.00 mg,0.48 g,0.56 g,1.55 g,0.00 g,15.5 mg,0.15 mg,0.77 mg,15.6 mg,20.8 mg,116 mg,0.24 mg,0.02 mg,0.07 mcg,74.5 mcg,37.2 mcg,0.00 mcg,0.36 mg,0.05 mg,tr mg,tr mg,0.06 mg,0.00 mcg,1.97 mg,25.6 mcg,0.00 g,0.00 g,
C0152B,"Abobrinha, italiana, c/ casca, cozida, drenada, s/ óleo, c/ sal", ,14 kcal,95.5 g,2.82 g,0.99 g,0.23 g,1.51 g,0.00 g,0.43 g,0.00 mg,0.12 g,tr g,0.12 g,0.00 g,15.9 mg,0.15 mg,128 mg,16.0 mg,21.3 mg,119 mg,0.24 mg,0.01 mg,0.07 mcg,76.3 mcg,38.2 mcg,0.00 mcg,0.08 mg,0.05 mg,tr mg,tr mg,0.06 mg,0.00 mcg,2.02 mg,26.2 mcg,0.32 g,0.00 g,
C0040B,"Abobrinha, italiana, c/ casca, cozida, drenada, s/ óleo, s/ sal",curcubita pepo l.,14 kcal,95.5 g,2.82 g,0.99 g,0.23 g,1.51 g,0.00 g,0.43 g,0.00 mg,0.12 g,tr g,0.12 g,0.00 g,15.9 mg,0.15 mg,0.79 mg,16.0 mg,21.3 mg,119 mg,0.24 mg,0.01 mg,0.07 mcg,76.3 mcg,38.2 mcg,0.00 mcg,0.08 mg,0.05 mg,tr mg,tr mg,0.06 mg,0.00 mcg,2.02 mg,26.2 mcg,0.00 g,0.00 g,
C0006B,"Abobrinha, italiana, c/ casca, crua",cucurbita pepo l.,17 kcal,94.6 g,3.71 g,1.01 g,0.12 g,1.28 g,0.00 g,0.57 g,0.00 mg,0.03 g,tr g,0.03 g,0.00 g,13.4 mg,0.21 mg,tr mg,17.7 mg,28.3 mg,224 mg,0.15 mg,0.06 mg,0.10 mcg,40.5 mcg,20.3 mcg,0.00 mcg,0.05 mg,tr mg,0.05 mg,tr mg,0.03 mg,0.00 mcg,5.87 mg,24.9 mcg,0.00 g,0.00 g,3411190.0
C0264B,"Abobrinha, italiana, c/ casca, grelhada, s/ óleo, c/ sal", ,27 kcal,91.1 g,5.76 g,1.56 g,0.19 g,1.99 g,0.00 g,1.36 g,0.00 mg,0.05 g,tr g,0.05 g,0.00 g,20.9 mg,0.33 mg,187 mg,27.4 mg,44.0 mg,348 mg,0.23 mg,0.09 mg,0.16 mcg,62.0 mcg,31.0 mcg,0.00 mcg,0.07 mg,0.00 mg,0.07 mg,tr mg,0.04 mg,0.00 mcg,7.29 mg,27.0 mcg,0.47 g,0.00 g,
C0263B,"Abobrinha, italiana, c/ casca, grelhada, s/ óleo, s/ sal",cucurbita pepo ,27 kcal,91.6 g,5.79 g,1.57 g,0.19 g,2.00 g,0.00 g,0.89 g,0.00 mg,0.05 g,tr g,0.05 g,0.00 g,20.9 mg,0.33 mg,tr mg,27.5 mg,44.2 mg,349 mg,0.23 mg,0.09 mg,0.16 mcg,62.2 mcg,31.1 mcg,0.00 mcg,0.07 mg,0.00 mg,0.07 mg,tr mg,0.04 mg,0.00 mcg,7.32 mg,27.2 mcg,0.00 g,0.00 g,
C0153B,"Abobrinha, italiana, c/ casca, refogada (c/ óleo, cebola e alho), c/ sal", ,26 kcal,93.5 g,4.19 g,1.07 g,0.82 g,1.38 g,0.00 g,0.43 g,0.00 mg,0.13 g,0.18 g,0.46 g,0.00 g,20.7 mg,0.36 mg,130 mg,12.7 mg,31.8 mg,193 mg,0.27 mg,0.02 mg,- mcg,41.6 mcg,20.8 mcg,- mcg,- mg,0.04 mg,tr mg,tr mg,tr mg,0.00 mcg,7.53 mg,- mcg,0.32 g,0.00 g,
C0104B,"Abobrinha, italiana, c/ casca, refogada (c/ óleo, cebola e alho), s/ sal",curcubita pepo l.,26 kcal,93.5 g,4.19 g,1.07 g,0.82 g,1.38 g,0.00 g,0.43 g,0.00 mg,0.13 g,0.18 g,0.46 g,0.00 g,20.7 mg,0.36 mg,2.21 mg,12.7 mg,31.8 mg,193 mg,0.27 mg,0.02 mg,nan mcg,41.6 mcg,20.8 mcg,0.00 mcg,nan mg,0.04 mg,tr mg,tr mg,tr mg,0.00 mcg,7.53 mg,nan mcg,0.00 g,0.00 g,
C0291C,"Abricó (damasco), in natura",mammea americana ,57 kcal,85.0 g,13.5 g,0.30 g,1.00 g,3.50 g,0.00 g,0.20 g,nan mg,0.28 g,0.20 g,0.17 g,0.00 g,8.00 mg,0.12 mg,1.76 mg,0.22 mg,- mg,31.8 mg,0.18 mg,0.01 mg,0.80 mcg,nan mcg,nan mcg,nan mcg,nan mg,0.11 mg,0.06 mg,- mg,0.05 mg,- mcg,16.7 mg,10.1 mcg,0.00 g,0.00 g,
C0800B,"Açafrão, pistilo, in natura",crocus sativus ,352 kcal,11.9 g,65.4 g,11.4 g,5.85 g,3.90 g,0.00 g,5.45 g,0.00 mg,1.59 g,0.43 g,2.07 g,0.00 g,111 mg,11.1 mg,148 mg,264 mg,252 mg,1724 mg,1.09 mg,0.33 mg,5.60 mcg,nan mcg,27.0 mcg,0.00 mcg,0.00 mg,0.12 mg,0.27 mg,1.46 mg,1.01 mg,0.00 mcg,80.8 mg,93.0 mcg,0.00 g,0.00 g,
C0003C,"Açaí, polpa (média de amostras)",euterpe oleracea mart.,68 kcal,86.1 g,7.66 g,0.90 g,5.01 g,5.89 g,0.00 g,0.31 g,0.00 mg,1.01 g,3.43 g,0.32 g,nan g,20.8 mg,0.59 mg,1.69 mg,20.9 mg,20.2 mg,110 mg,0.23 mg,0.20 mg,0.70 mcg,28.6 mcg,14.3 mcg,nan mcg,14.8 mg,tr mg,0.04 mg,tr mg,0.08 mg,0.00 mcg,42.0 mg,nan mcg,0.00 g,0.00 g,
C0201C,"Açaí, polpa, c/ xarope de guaraná, c/ cupuaçu, polpa", ,101 kcal,77.0 g,18.9 g,0.75 g,2.89 g,1.69 g,0.00 g,0.37 g,0.00 mg,0.60 g,1.45 g,0.23 g,0.00 g,18.0 mg,0.27 mg,11.5 mg,13.0 mg,11.6 mg,129 mg,0.18 mg,0.14 mg,0.38 mcg,15.7 mcg,7.84 mcg,nan mcg,8.09 mg,0.02 mg,0.02 mg,tr mg,0.07 mg,0.00 mcg,9.35 mg,nan mcg,0.00 g,nan g,
C0177C,"Açaí, polpa, c/ xarope de guaraná, glucose, c/ granola caseira", ,177 kcal,61.2 g,29.6 g,2.71 g,5.94 g,2.94 g,0.00 g,0.61 g,0.00 mg,1.14 g,2.68 g,1.27 g,0.00 g,34.0 mg,0.95 mg,37.3 mg,29.5 mg,45.1 mg,133 mg,0.99 mg,0.17 mg,21.0 mcg,17.0 mcg,8.51 mcg,0.00 mcg,8.63 mg,tr mg,tr mg,tr mg,0.06 mg,0.06 mcg,8.22 mg,0.00 mcg,0.00 g,nan g,
C0095C,"Açaí, polpa, com xarope de guaraná e glucose", ,118 kcal,73.9 g,21.5 g,0.72 g,3.66 g,1.72 g,0.00 g,0.28 g,0.00 mg,0.70 g,1.90 g,0.30 g,nan g,22.2 mg,0.27 mg,15.1 mg,12.7 mg,10.8 mg,75.5 mg,0.19 mg,0.14 mg,0.51 mcg,20.9 mcg,10.4 mcg,nan mcg,10.8 mg,tr mg,tr mg,tr mg,0.07 mg,0.00 mcg,10.3 mg,nan mcg,0.00 g,nan g,
C0185C,"Açaí, solteiro, polpa", ,57 kcal,88.7 g,5.62 g,0.78 g,4.58 g,4.91 g,0.00 g,0.31 g,0.00 mg,0.72 g,2.21 g,0.34 g,nan g,27.8 mg,0.74 mg,2.97 mg,17.0 mg,16.4 mg,128 mg,0.29 mg,0.16 mg,0.57 mcg,26.1 mcg,13.1 mcg,nan mcg,13.5 mg,tr mg,0.04 mg,tr mg,0.07 mg,0.00 mcg,38.4 mg,nan mcg,nan g,nan g,
C0203T,"Acarajé, c/ sal", ,270 kcal,50.2 g,19.0 g,8.31 g,19.8 g,9.32 g,0.00 g,2.58 g,25.3 mg,9.06 g,7.76 g,2.09 g,nan g,123 mg,1.93 mg,483 mg,50.9 mg,140 mg,352 mg,1.19 mg,0.22 mg,nan mcg,nan mcg,nan mcg,nan mcg,nan mg,0.06 mg,tr mg,tr mg,tr mg,nan mcg,tr mg,nan mcg,0.45 g,nan g,
